biome * ffffff ffffff ffffff
biome 0 ffffff a4b160 869f40
biome 1 ffffff a7b54c 8ca41e
biome 2 ffffff cfb24c bca019
biome 3 ffffff a3ae74 849b5a
biome 4 ffffff 92b64b 73a51d
biome 5 ffffff 9dac7b 7c9862
biome 6 e0ffae 6a6346 585b2f
biome 7 ffffff a4b160 869f40
biome 8 ffffff cfb24c bca019
biome 9 ffffff a4b160 869f40
biome 10 ffffff 9bab7e 7a9865
biome 11 ffffff 9bab7e 7a9865
biome 12 ffffff 9bab7e 7a9865
biome 13 ffffff 9bab7e 7a9865
biome 14 ffffff 75bc29 50a90b
biome 15 ffffff 75bc29 50a90b
biome 16 ffffff a7b54c 8ca41e
biome 17 ffffff cfb24c bca019
biome 18 ffffff 92b64b 73a51d
biome 19 ffffff 9dac7b 7c9862
biome 20 ffffff a3ae74 849b5a
biome 21 ffffff 75be1c 4ea809
biome 22 ffffff 75be1c 4ea809
biome 23 ffffff 9bab7e 7a9865
biome 160 ffffff cfb24c bca019
biome 161 ffffff a4b160 869f40
biome 162 cc1188 6d4189 7c6d87
biome 163 0077ee 55ff81 66ffc5
biome 164 2e535f 404840 405340
blocktype * * normal
blocktype 2 * grass
blocktype 8 * water
blocktype 9 * water
blocktype 18 * leaves
blocktype 18 1 opaque
blocktype 18 2 opaque
blocktype 31 * grass
blocktype 106 * foliage
blocktype 169 * grass
blocktype 1920 * grass
blocktype 1923 * opaque
blocktype 1924 * opaque
blocktype 1925 * foliage
blocktype 1926 * opaque
blocktype 1932 * foliage
blocktype 1962 * leaves
blocktype 2164 * leaves
blocktype 2177 * leaves
blocktype 2200 * opaque
blocktype 2204 * leaves
blocktype 3257 * opaque
blocktype 3258 * opaque
blocktype 3259 * leaves
blocktype 3272 * opaque
blocktype 3278 * opaque
block * * 00000000
block 1 * ff7d7d7d
block 2 * ff909090
block 3 * ff6a4d35
block 4 * ff787a78
block 5 * ff937c58
block 5 1 ff604934
block 5 2 ffc6b682
block 5 3 ff80563f
block 6 * 6b769654
block 6 0 6b476625
block 6 1 53333a21
block 6 3 55305612
block 6 4 6b476625
block 6 5 53333a21
block 6 7 55305612
block 6 8 6b476625
block 6 9 53333a21
block 6 11 55305612
block 6 12 6b476625
block 6 13 53333a21
block 6 15 55305612
block 7 * ff3c3c3c
block 8 * b33868ea
block 9 * b33868ea
block 10 * ffd1530e
block 11 * ffd1530e
block 12 * ffd1ccac
block 13 * ff777574
block 14 * ff8f8b7c
block 15 * ff87827e
block 16 * ff737373
block 17 * ff2e2315
block 17 0 ff7f684c
block 17 1 ff604e34
block 17 2 ffb8a679
block 17 3 ff8b6246
block 17 4 ff53452f
block 17 6 ffa4aca3
block 17 7 ff574526
block 17 8 ff53452f
block 17 10 ffa4aca3
block 17 11 ff574526
block 17 12 ff53452f
block 17 14 ffa4aca3
block 17 15 ff574526
block 18 * ff828079
block 18 0 ff4c4c4c
block 18 1 ff223622
block 18 2 ff28341a
block 18 4 ff4c4c4c
block 18 5 ff5b5b5b
block 18 6 ff505050
